Breed	 AverageDailyGain	 Backfat	 MuscleThikness	 FrontLegs	 BackLegs
Landrace	 0.68	 15.2	 57.4	 3	 3
Landrace	 0.85	 12.2	 54.8	 3	 4
Landrace	 0.72	 15.5	 57.1	 3	 3
Landrace	 0.81	 17.2	 58.7	 3	 3
Landrace	 0.74	 14.5	 62.7	 4	 4
Landrace	 0.72	 12.5	 56.4	 3	 3
Landrace	 0.81	 18.2	 59.7	 4	 3
Landrace	 0.69	 16.5	 58.4	 4	 4
Landrace	 0.87	 20.5	 61	 3	 4
Landrace	 0.79	 12.9	 62	 3	 4
Landrace	 0.71	 14.5	 58.4	 4	 3
Landrace	 0.75	 10.2	 57.7	 4	 3
Landrace	 0.87	 8.3	 65	 3	 4
Landrace	 0.81	 16.2	 55.4	 3	 4
Landrace	 0.74	 13.5	 56.4	 4	 3
Landrace	 0.86	 6.6	 59.7	 3	 3
Landrace	 0.83	 14.2	 66.3	 3	 4
Landrace	 0.65	 7.3	 52.8	 4	 3
Landrace	 0.71	 12.9	 54.1	 3	 3
Landrace	 0.77	 10.2	 63.4	 4	 3
Landrace	 0.81	 11.6	 69.6	 4	 3
Landrace	 0.82	 13.2	 60.7	 3	 3
Landrace	 0.79	 12.9	 64	 4	 4
Landrace	 0.74	 12.2	 64.7	 3	 3
Landrace	 0.72	 11.9	 62	 4	 4
Landrace	 0.71	 16.5	 56.8	 3	 4
Landrace	 0.82	 15.8	 63.4	 3	 3
Landrace	 0.77	 10.6	 56.4	 3	 3
Landrace	 0.74	 6.6	 56.4	 4	 3
Landrace	 0.79	 10.2	 51.5	 3	 3
Landrace	 0.73	 12.5	 61.7	 4	 4
Landrace	 0.89	 10.2	 66.3	 3	 3
Landrace	 0.53	 10.6	 54.8	 3	 3
Landrace	 0.72	 13.5	 65	 3	 3
Landrace	 0.7	 13.9	 60.1	 3	 2
Landrace	 0.6	 8.9	 58.4	 4	 4
Landrace	 0.7	 8.9	 47.2	 4	 4
Landrace	 0.69	 13.5	 56.4	 4	 4
Landrace	 0.69	 11.9	 62	 4	 3
Landrace	 0.57	 9.6	 51.8	 4	 3
Landrace	 0.69	 10.9	 53.1	 3	 3
Landrace	 0.7	 11.2	 52.1	 2	 2
Landrace	 0.69	 11.9	 52.1	 3	 3
Landrace	 0.63	 11.2	 56.8	 4	 3
Landrace	 0.64	 11.6	 59.1	 3	 3
Landrace	 0.81	 16.8	 50.5	 2	 2
Landrace	 0.61	 12.2	 57.7	 3	 3
Landrace	 0.7	 13.9	 59.4	 3	 4
